id,age_2019,sex,region,urban_rural,education,home_ownership_2019,prior_marital_2019,year,age,age_group,employment_status,home_ownership,income_monthly,expenditure_monthly,housing_cost_share,debt_outstanding,debt_service_ratio,house_price_index,rental_index,unemployment_rate,CPI,child_care_cost_index,family_tax_benefit_index,interest_rate_proxy,affordability_index,income_level,afford_level,prior_marital_status,marital_status,Y_married,Y_child_next
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2019,29,25-29,FT,1,3986.990299988598,3444.096423664071,0.10316803818604343,41947.56200982462,0.10518471424051497,105.0,105.0,3.1,100.0,100.0,100,6.5,0.4068357448967957,mid,Q2,1,1,0,0
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2020,30,30-35,PT,1,2168.5436980378518,1814.9099042720632,0.16425963010854,12185.35971596688,0.05616554175418265,110.25,108.15,4.1000000000000005,103.0,104.0,102,5.8,0.2111737947256648,low,Q1,1,1,0,0
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2021,31,30-35,FT,1,2499.058054799135,1951.1644626857042,0.1302155044228806,13652.276945047715,0.0546078396813253,115.7625,111.3945,4.1000000000000005,106.08999999999999,108.16000000000001,104,6.5,0.23223676771836485,low,Q1,1,1,0,0
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2022,32,30-35,PT,1,3593.450377645175,1967.3558669377906,0.11867332008080528,29519.733159636307,0.0821258608638117,121.55062500000001,114.736335,3.1,109.2727,112.4864,106,6.5,0.3186648530360254,mid,Q2,1,1,0,0
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2023,33,30-35,FT,1,1592.7011418145341,815.3611852725987,0.22677307738157454,14806.388248661482,0.09290567635412139,127.62815625000002,118.17842505000002,3.1,112.55088100000002,116.98585600000003,108,7.5,0.13477520643774307,low,Q1,1,1,0,0
0,29,Nam,Nam,Nông thôn,≤THPT,1,1,2024,34,30-35,FT,1,4969.66823987702,3564.5679675616434,0.17851173745572435,133391.99477553353,0.2683582736530286,134.00956406250003,121.7237778015,3.1,115.92740743,121.66529024000002,110,6.5,0.40127477113476634,mid,Q2,1,1,0,0
1,24,Nữ,Bắc,Nông thôn,ĐH,0,0,2019,24,18-24,FT,0,5510.82500493535,4110.31080182328,0.15148579260928247,57694.10684249513,0.10467332832743272,100.0,100.0,2.8000000000000003,100.0,100.0,100,6.5,0.5904455362430732,mid,Q3,0,0,0,0
1,24,Nữ,Bắc,Nông thôn,ĐH,0,0,2020,25,25-29,PT,0,2858.2081150100494,2167.9590503247505,0.22452511389703775,95910.68400102283,0.33544492091190686,105.0,103.0,3.8000000000000003,103.0,104.0,103,5.8,0.292250318508185,low,Q2,0,0,0,0
1,24,Nữ,Bắc,Nông thôn,ĐH,0,0,2021,26,25-29,FT,0,7648.574697934469,4628.148926087497,0.135072428517721,33273.900160479854,0.04349771258454988,110.25,106.08999999999999,3.8000000000000003,106.08999999999999,108.16000000000001,106,6.5,0.7463189081158492,high,Q4,0,0,0,0
1,24,Nữ,Bắc,Nông thôn,ĐH,0,0,2022,27,25-29,Unemp,0,2011.7410429047275,1391.0111705749734,0.18444626533724298,1576.0278523623924,0.00783025644515062,115.76250000000002,109.2727,2.8000000000000003,109.2727,112.4864,109,6.5,0.1873198879162121,low,Q1,0,0,0,0
